Reference, Value, Footprint, Datasheet
"R15","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"IC3","4051","Package_DIP:DIP-16_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf"
"D1","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW1","SW_Push_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"Q1","2N3904","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
"R31","100K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R1","2.2K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"LED1","LED","LED_THT:LED_D3.0mm","~"
"LED2","LED","LED_THT:LED_D3.0mm","~"
"LED3","LED","LED_THT:LED_D3.0mm","~"
"LED4","LED","LED_THT:LED_D3.0mm","~"
"LED5","LED","LED_THT:LED_D3.0mm","~"
"LED6","LED","LED_THT:LED_D3.0mm","~"
"LED7","LED","LED_THT:LED_D3.0mm","~"
"LED8","LED","LED_THT:LED_D3.0mm","~"
"D2","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D3","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D4","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D5","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D6","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D7","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"D8","D","Diode_THT:D_T-1_P5.08mm_Horizontal","~"
"SW2","SW_Push_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW3","SW_Push_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW4","SW_Push_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW5","SW_Push_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW6","SW_Push_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW7","SW_Push_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"SW8","SW_Push_SPDT","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"VR1","B50K","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~"
"R2","820","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"R16","220","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"IC4","4051","Package_DIP:DIP-16_W7.62mm","http://www.intersil.com/content/dam/Intersil/documents/cd40/cd4051bms-52bms-53bms.pdf"
"VR2","B50K","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~"
"VR3","B50K","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~"
"VR4","B50K","Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical","~"
